Gene	log2FC
RPS12	0.0484211894547941
ERGIC3	0.0482041758654125
JMJD1C	0.0478258739482015
RPL35A	0.0462856519700634
ARL6IP4	0.0461419004865289
ARGLU1	0.0447914453104025
DDX24	0.0433614950910158
RPL5	0.0426315492020387
HNRNPUL1	0.0422233829766071
MIF	0.0398533981886461
RPL31	0.0391450742841811
PDIA6	0.0388017748377467
KPNB1	0.0367944303651654
RPL32	0.0353070388601194
SET	0.0352082092432284
TAPBP	0.0350671141329502
DDX17	0.0347198333512722
NAP1L4	0.0342604382573682
VPS13C	0.0336295780893044
CD44	0.0334383836400911
EIF5AL1	0.0333135214061037
STAT3	0.032897293277664
RPL18	0.0320320649528294
RPL30	0.0318178381160222
ANKRD11	0.0316811774430037
RPS27L	0.0313595727783229
EMB	0.0312284823113328
FNBP1	0.0310569025583785
RPL27A	0.0304049054056819
CXCR4	0.0287298407583218
EIF2S3	0.0280294453967077
RPS14	0.0280159749572391
TANK	0.027840008951086
YWHAZ	0.0277496533635185
POLR2J3	0.0262829476857556
PPP1R15A	0.0254895093827857
CHD1	0.0254369423269161
RPS2	0.0246240572553223
DDX6	0.0245801315365548
RPL7	0.0239209228545666
FOS	0.0232788441399112
SNRNP70	0.0230943256335584
EIF5B	0.0229822251632626
FUS	0.0228859858291549
RNF145	0.0221906911117453
MACF1	0.0220839297084727
HSPA5	0.0194788020890015
USP15	0.0184113940195281
ZC3H13	0.0183238173775264
RSRP1	0.0180552065647106
ITSN2	0.0166470395664094
PRRC2C	0.016248150761131
RPS23	0.0144511616296533
ARHGAP15	0.0130196010989949
VAMP2	0.0129899092183367
SLC2A3	0.0127776771697632
EIF4G2	0.0124934449876604
FAM107B	0.0120604771772373
ANXA7	0.0118731897287108
PPP2R5C	0.0117093270205566
SRSF5	0.0108613828015039
RPL4	0.0103309130705641
C9orf78	0.0094064450106919
UBXN4	0.00886195403357403
SBDS	0.00878178645709251
EEF1D	0.00778704525204637
DNAJC1	0.00573704832654679
CNOT6L	0.00529449273544153
EPSTI1	0.00265905268248154
NCL	0.00257059356563164
MZT2A	0.00161073825770854
GTF3A	0.000826609688787722
RPS15	0.000806680547902368
PRPF38B	0.00061252821520628
SAMD11	0
NOC2L	0
KLHL17	0
PLEKHN1	0
HES4	0
AGRN	0
C1orf159	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
B3GALT6	0
UBE2J2	0
SCNN1D	0
ACAP3	0
PUSL1	0
CPTP	0
TAS1R3	0
DVL1	0
MXRA8	0
CCNL2	0
ANKRD65	0
VWA1	0
ATAD3C	0
ATAD3B	0
ATAD3A	0
TMEM240	0
MIB2	0
MMP23B	0
CDK11B	0
SLC35E2B	0
CDK11A	0
NADK	0
GNB1	0
TMEM52	0
CFAP74	0
GABRD	0
PRKCZ	0
SKI	0
MORN1	0
PEX10	0
PLCH2	0
PANK4	0
HES5	0
MMEL1	0
TTC34	0
PRDM16	0
MEGF6	0
TPRG1L	0
WRAP73	0
TP73	0
SMIM1	0
LRRC47	0
CEP104	0
DFFB	0
C1orf174	0
AJAP1	0
NPHP4	0
KCNAB2	0
CHD5	0
RNF207	0
ICMT	0
GPR153	0
ACOT7	0
HES2	0
ESPN	0
TNFRSF25	0
PLEKHG5	0
NOL9	0
TAS1R1	0
ZBTB48	0
KLHL21	0
PHF13	0
THAP3	0
DNAJC11	0
CAMTA1	0
VAMP3	0
PER3	0
UTS2	0
TNFRSF9	0
ERRFI1	0
SLC45A1	0
RERE	0
CA6	0
SLC2A5	0
GPR157	0
H6PD	0
SPSB1	0
SLC25A33	0
TMEM201	0
PIK3CD	0
CLSTN1	0
CTNNBIP1	0
LZIC	0
NMNAT1	0
RBP7	0
UBE4B	0
KIF1B	0
PGD	0
CORT	0
DFFA	0
PEX14	0
CASZ1	0
C1orf127	0
MASP2	0
SRM	0
EXOSC10	0
MTOR	0
UBIAD1	0
FBXO2	0
FBXO44	0
FBXO6	0
MAD2L2	0
DRAXIN	0
AGTRAP	0
C1orf167	0
MTHFR	0
CLCN6	0
KIAA2013	0
PLOD1	0
MFN2	0
MIIP	0
TNFRSF8	0
VPS13D	0
DHRS3	0
PDPN	0
PRDM2	0
KAZN	0
TMEM51	0
FHAD1	0
CTRC	0
CASP9	0
DNAJC16	0
AGMAT	0
DDI2	0
PLEKHM2	0
SLC25A34	0
FBLIM1	0
UQCRHL	0
SPEN	0
ZBTB17	0
EPHA2	0
ARHGEF19	0
FBXO42	0
SZRD1	0
SPATA21	0
NECAP2	0
NBPF1	0
CROCC	0
MST1L	0
MFAP2	0
ATP13A2	0
SDHB	0
PADI2	0
PADI4	0
PADI6	0
RCC2	0
ARHGEF10L	0
IGSF21	0
KLHDC7A	0
ALDH4A1	0
IFFO2	0
UBR4	0
EMC1	0
MRTO4	0
AKR7L	0
AKR7A3	0
AKR7A2	0
NBL1	0
TMCO4	0
OTUD3	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2C	0
UBXN10	0
CAMK2N1	0
MUL1	0
CDA	0
PINK1	0
KIF17	0
EIF4G3	0
ECE1	0
NBPF3	0
ALPL	0
RAP1GAP	0
USP48	0
LDLRAD2	0
HSPG2	0
WNT4	0
ZBTB40	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
KDM1A	0
LUZP1	0
ZNF436	0
TCEA3	0
ASAP3	0
E2F2	0
ID3	0
MDS2	0
PITHD1	0
LYPLA2	0
GALE	0
HMGCL	0
FUCA1	0
CNR2	0
IFNLR1	0
STPG1	0
NIPAL3	0
RCAN3	0
NCMAP	0
CLIC4	0
RHD	0
RHCE	0
LDLRAP1	0
MAN1C1	0
MTFR1L	0
AUNIP	0
PAQR7	0
STMN1	0
PAFAH2	0
TRIM63	0
PDIK1L	0
FAM110D	0
ZNF593	0
CNKSR1	0
CEP85	0
UBXN11	0
ZNF683	0
DHDDS	0
RPS6KA1	0
ARID1A	0
PIGV	0
ZDHHC18	0
SFN	0
GPN2	0
GPATCH3	0
NR0B2	0
KDF1	0
TRNP1	0
SLC9A1	0
WDTC1	0
TMEM222	0
SYTL1	0
MAP3K6	0
FCN3	0
GPR3	0
AHDC1	0
FGR	0
FAM76A	0
STX12	0
PPP1R8	0
THEMIS2	0
RPA2	0
SMPDL3B	0
XKR8	0
EYA3	0
PTAFR	0
SESN2	0
MED18	0
PHACTR4	0
RCC1	0
TRNAU1AP	0
TAF12	0
RAB42	0
GMEB1	0
YTHDF2	0
EPB41	0
TMEM200B	0
MECR	0
PTPRU	0
MATN1	0
SDC3	0
PUM1	0
SNRNP40	0
ZCCHC17	0
FABP3	0
SERINC2	0
TINAGL1	0
PEF1	0
SPOCD1	0
TMEM39B	0
KPNA6	0
TXLNA	0
CCDC28B	0
IQCC	0
TMEM234	0
FAM167B	0
HDAC1	0
MARCKSL1	0
TSSK3	0
FAM229A	0
BSDC1	0
ZBTB8B	0
ZBTB8A	0
ZBTB8OS	0
RBBP4	0
SYNC	0
KIAA1522	0
S100PBP	0
FNDC5	0
HPCA	0
TMEM54	0
RNF19B	0
AK2	0
TRIM62	0
ZNF362	0
PHC2	0
ZSCAN20	0
SMIM12	0
GJB3	0
GJA4	0
DLGAP3	0
ZMYM6	0
ZMYM1	0
ZMYM4	0
KIAA0319L	0
NCDN	0
TFAP2E	0
C1orf216	0
CLSPN	0
AGO4	0
AGO1	0
AGO3	0
ADPRHL2	0
COL8A2	0
TRAPPC3	0
MAP7D1	0
SH3D21	0
EVA1B	0
STK40	0
LSM10	0
OSCP1	0
MRPS15	0
CSF3R	0
ZC3H12A	0
SNIP1	0
DNALI1	0
GNL2	0
C1orf109	0
CDCA8	0
EPHA10	0
MANEAL	0
YRDC	0
C1orf122	0
MTF1	0
INPP5B	0
SF3A3	0
FHL3	0
POU3F1	0
RRAGC	0
MYCBP	0
RHBDL2	0
AKIRIN1	0
HEYL	0
HPCAL4	0
PPIE	0
BMP8B	0
OXCT2	0
TRIT1	0
MYCL	0
MFSD2A	0
RLF	0
TMCO2	0
ZMPSTE24	0
COL9A2	0
ZFP69B	0
ZFP69	0
EXO5	0
ZNF684	0
RIMS3	0
NFYC	0
KCNQ4	0
CITED4	0
CTPS1	0
SLFNL1	0
SCMH1	0
FOXO6	0
HIVEP3	0
GUCA2B	0
FOXJ3	0
RIMKLA	0
ZMYND12	0
PPCS	0
CCDC30	0
PPIH	0
CLDN19	0
P3H1	0
C1orf50	0
ERMAP	0
ZNF691	0
SLC2A1	0
EBNA1BP2	0
CFAP57	0
TMEM125	0
C1orf210	0
TIE1	0
CDC20	0
ELOVL1	0
MED8	0
SZT2	0
HYI	0
PTPRF	0
KDM4A	0
ST3GAL3	0
ARTN	0
IPO13	0
DPH2	0
B4GALT2	0
CCDC24	0
SLC6A9	0
DMAP1	0
ERI3	0
RNF220	0
TMEM53	0
KIF2C	0
BEST4	0
PLK3	0
TCTEX1D4	0
BTBD19	0
PTCH2	0
EIF2B3	0
HECTD3	0
UROD	0
ZSWIM5	0
HPDL	0
MUTYH	0
TOE1	0
TESK2	0
MMACHC	0
AKR1A1	0
CCDC17	0
GPBP1L1	0
TMEM69	0
IPP	0
MAST2	0
PIK3R3	0
TSPAN1	0
POMGNT1	0
LURAP1	0
RAD54L	0
LRRC41	0
NSUN4	0
FAAH	0
MKNK1	0
MOB3C	0
ATPAF1	0
EFCAB14	0
CYP4A11	0
CYP4X1	0
PDZK1IP1	0
TAL1	0
STIL	0
FOXD2	0
SLC5A9	0
SPATA6	0
BEND5	0
ELAVL4	0
FAF1	0
CDKN2C	0
RNF11	0
TTC39A	0
EPS15	0
OSBPL9	0
RAB3B	0
TXNDC12	0
KTI12	0
BTF3L4	0
ZFYVE9	0
CC2D1B	0
ORC1	0
PRPF38A	0
GPX7	0
COA7	0
ZYG11B	0
